---------------------------------------|---------|----------|---------|---------|-------------------
File                                   | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
---------------------------------------|---------|----------|---------|---------|-------------------
  app.js                               |   94.78 |    66.66 |   97.84 |   94.58 | ...35,539,550,561 
  configuration.js                     |     100 |      100 |     100 |     100 |                   
  crosswalk.js                         |   95.89 |    69.04 |   98.03 |   98.52 | 180,198           
  editor.js                            |   63.08 |    13.23 |   83.21 |   63.08 | 235,281-412,555   
  environment.js                       |     100 |      100 |     100 |     100 |                   
  featuresEnabled.js                   |     100 |      100 |     100 |     100 |                   
  lode.js                              |   64.91 |    50.76 |   91.42 |   65.45 | ...97,200,206-234 
  user.js                              |      80 |       50 |      60 |      80 | 21,38-41          
 src/views                             |      40 |       30 |   39.28 |   41.26 |                   
  ConfigurationEditor.vue              |   64.28 |    46.42 |      50 |   66.03 | ...74,192-194,206 
  Forbidden.vue                        |     100 |      100 |     100 |     100 |                   
  InternalError.vue                    |     100 |      100 |     100 |     100 |                   
  Welcome.vue                          |    6.97 |     9.09 |   20.83 |     7.4 | 35-137            
 src/views/conceptScheme               |       0 |        0 |       0 |       0 |                   
  ConceptHierarchy.vue                 |       0 |        0 |       0 |       0 | 34-810            
 src/views/directory                   |    6.21 |     3.66 |   11.86 |    6.34 |                   
  Directory.vue                        |   13.16 |       10 |   21.21 |   13.27 | ...15,417,423-450 
  DirectoryList.vue                    |       0 |        0 |       0 |       0 | 23-464            
 src/views/framework                   |    27.1 |    32.49 |   36.12 |   28.55 |                   
  Crosswalk.vue                        |   11.22 |     9.64 |   17.04 |    11.5 | ...03-214,217-630 
  Framework.vue                        |   29.58 |    37.97 |   38.13 |   31.83 | ...22,726,732-788 
  Frameworks.vue                       |   58.97 |    62.99 |   70.45 |   59.35 | ...62,266,286,288 
  Import.vue                           |   34.52 |    25.71 |   34.69 |   34.52 | ...80,283,285,287 
 src/views/login                       |   26.32 |     17.1 |   32.97 |   26.25 |                   
  CreateAccount.vue                    |    1.01 |        0 |   11.11 |    1.03 | 32-174            
  LegacyLogin.vue                      |   45.49 |     33.8 |   51.11 |    45.6 | ...85-366,375-406 
  Login.vue                            |    8.82 |     5.26 |   19.35 |    8.27 | 24-28,37-226      
 src/views/organization                |   42.42 |    59.09 |    62.5 |   43.75 |                   
  Organizations.vue                    |   42.42 |    59.09 |    62.5 |   43.75 | 20,23-32,43,54-65 
 src/views/plugins                     |   39.65 |     62.5 |      52 |    37.5 |                   
  PluginManager.vue                    |   39.65 |     62.5 |      52 |    37.5 | ...-69,76-108,137 
 src/views/progressionModel            |       0 |        0 |       0 |       0 |                   
  ProgressionHierarchy.vue             |       0 |        0 |       0 |       0 | 34-1369           
 src/views/usersGroups                 |   34.57 |    16.66 |   34.44 |   35.43 |                   
  UserGroupEditor.vue                  |   34.57 |    16.66 |   34.44 |   35.43 | ...45-646,673-674 
---------------------------------------|---------|----------|---------|---------|-------------------
