---------------------------------------|---------|----------|---------|---------|-------------------
File                                   | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s 
---------------------------------------|---------|----------|---------|---------|-------------------
  crosswalk.js                         |   15.06 |        0 |    5.88 |   16.17 | ...49-252,258-294 
  editor.js                            |    28.5 |     5.88 |   32.84 |    28.5 | ...48,555-559,568 
  environment.js                       |   85.71 |      100 |      50 |   85.71 | 21                
  featuresEnabled.js                   |   73.68 |      100 |   64.28 |   73.68 | 22,43-52          
  lode.js                              |    30.7 |     9.23 |   28.57 |    30.9 | ...63-202,206-234 
  user.js                              |     100 |      100 |     100 |     100 |                   
 src/views                             |   36.86 |       26 |   31.48 |   37.96 |                   
  ConfigurationEditor.vue              |    61.6 |    46.42 |   46.66 |    63.2 | ...74,192-199,206 
  Welcome.vue                          |    4.65 |        0 |    12.5 |    4.93 | 26,30-137         
 src/views/conceptScheme               |       0 |        0 |       0 |       0 |                   
  ConceptHierarchy.vue                 |       0 |        0 |       0 |       0 | 34-810            
 src/views/directory                   |    6.21 |     3.66 |   12.71 |    6.34 |                   
  Directory.vue                        |   13.16 |       10 |   22.72 |   13.27 | ...15,417,423-450 
  DirectoryList.vue                    |       0 |        0 |       0 |       0 | 23-464            
 src/views/framework                   |   21.33 |    27.65 |   29.18 |   22.39 |                   
  Crosswalk.vue                        |   11.22 |     9.64 |   17.04 |    11.5 | ...03-214,217-630 
  Framework.vue                        |    20.9 |    32.27 |   22.88 |   22.49 | ...94-695,700-788 
  Frameworks.vue                       |   44.87 |    57.48 |    65.9 |   45.16 | ...86,288,298,300 
  Import.vue                           |   20.23 |        0 |   26.53 |   20.23 | ...60,269,279-287 
  Timeline.vue                         |   88.88 |      100 |   83.33 |   88.88 | 26                
 src/views/login                       |   26.73 |    19.07 |   32.97 |   26.66 |                   
  CreateAccount.vue                    |    1.01 |        0 |   11.11 |    1.03 | 32-174            
  LegacyLogin.vue                      |   47.45 |    39.43 |   53.33 |    47.6 | ...55-257,290-406 
  Login.vue                            |    6.61 |     2.63 |   16.12 |    6.01 | 24-28,37-231,244  
 src/views/organization                |    23.8 |     7.14 |   42.85 |      25 |                   
  Organization.vue                     |    23.8 |     7.14 |   42.85 |      25 | 19-32,59,70-81    
 src/views/plugins                     |   10.34 |        0 |      24 |   10.71 |                   
  PluginManager.vue                    |   10.34 |        0 |      24 |   10.71 | 31-33,41-120,137  
 src/views/progressionModel            |       0 |        0 |       0 |       0 |                   
  ProgressionHierarchy.vue             |       0 |        0 |       0 |       0 | 34-1369           
 src/views/usersGroups                 |   20.89 |     9.42 |   25.55 |   21.52 |                   
  UserGroupEditor.vue                  |   20.89 |     9.42 |   25.55 |   21.52 | ...45-646,673-674 
---------------------------------------|---------|----------|---------|---------|-------------------
